Station Name,VANCOUVER INT'L A,,,,,,,,,,,,,,,,,,,,,,,,,
Province,BRITISH COLUMBIA,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,49.2,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-123.18,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,1108447,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71892,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,YVR,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,,,
[Empty],No Data Available,,,,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,
A,Accumulated,,,,,,,,,,,,,,,,,,,,,,,,,
C,Precipitation Occurred; Amount Uncertain,,,,,,,,,,,,,,,,,,,,,,,,,
L,Precipitation May or May Not Have Occurred,,,,,,,,,,,,,,,,,,,,,,,,,
F,Accumulated and Estimated,,,,,,,,,,,,,,,,,,,,,,,,,
N,Temperature Missing but Known to be > 0,,,,,,,,,,,,,,,,,,,,,,,,,
Y,Temperature Missing but Known to be < 0,,,,,,,,,,,,,,,,,,,,,,,,,
S,More Than One Occurrence,,,,,,,,,,,,,,,,,,,,,,,,,
T,Trace,,,,,,,,,,,,,,,,,,,,,,,,,
*,Data for this day has undergone only preliminary quality checking,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (C),Max Temp Flag,Min Temp (C),Min Temp Flag,Mean Temp (C),Mean Temp Flag,Heat Deg Days (C),Heat Deg Days Flag,Cool Deg Days (C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
10-01-01,2010,1,1, ,9.7,,4.5,,7.1,,10.9,,0,,12.6,,0,,12.6,,0,,13,E,35,E
10-01-02,2010,1,2, ,9,,3.8,,6.4,,11.6,,0,,5.6,,0,,5.6,,0,,0,,0,
10-01-03,2010,1,3, ,8.9,,4,,6.5,,11.5,,0,,0.8,,0,,0.8,,0,,0,,0,
10-01-04,2010,1,4, ,6.6,,5.4,,6,,12,,0,,15.8,,0,,15.8,,0,,0,,0,
10-01-05,2010,1,5, ,8.7,,3.8,,6.3,,11.7,,0,,1,,0,,1,,0,,0,,0,
10-01-06,2010,1,6, ,6.8,,-0.1,,3.4,,14.6,,0,,0,,0,,0,,0,,0,,0,
10-01-07,2010,1,7, ,5.6,,-2.7,,1.5,,16.5,,0,,1,,0,,1,,0,,0,,0,
10-01-08,2010,1,8, ,6.9,,3.7,,5.3,,12.7,,0,,13.2,,0,,13.2,,0,,0,,0,
10-01-09,2010,1,9, ,11.2,,6.9,,9.1,,8.9,,0,,2,,0,,2,,0,,11,E,32,E
10-01-10,2010,1,10, ,12.4,,4.5,,8.5,,9.5,,0,,2,,0,,2,,0,,0,,0,
10-01-11,2010,1,11, ,13.8,,9.4,,11.6,,6.4,,0,,36,,0,,36,,0,,12,E,56,E
10-01-12,2010,1,12, ,13.4,,9.3,,11.4,,6.6,,0,,3.8,,0,,3.8,,0,,14,E,65,E
10-01-13,2010,1,13, ,10.8,,5.8,,8.3,,9.7,,0,,6,,0,,6,,0,,0,,0,
10-01-14,2010,1,14, ,9.7,,6.3,,8,,10,,0,,26,,0,,26,,0,,19,E,39,E
10-01-15,2010,1,15, ,10.5,,4.3,,7.4,,10.6,,0,,24.6,,0,,24.6,,0,,14,E,59,E
10-01-16,2010,1,16, ,9,,2.1,,5.6,,12.4,,0,,0.2,,0,,0.2,,0,,0,,0,
10-01-17,2010,1,17, ,10.3,,5.3,,7.8,,10.2,,0,,8.6,,0,,8.6,,0,,13,E,35,E
10-01-18,2010,1,18, ,11.7,,4.6,,8.2,,9.8,,0,,3,,0,,3,,0,,13,E,82,E
10-01-19,2010,1,19, ,14.1,,4.2,,9.2,,8.8,,0,,0.2,,0,,0.2,,0,,11,E,46,E
10-01-20,2010,1,20, ,11.5,,6.9,,9.2,,8.8,,0,,0,T,0,,0,T,0,,9,E,44,E
10-01-21,2010,1,21, ,13,,5.5,,9.3,,8.7,,0,,0,T,0,,0,T,0,,0,,0,
10-01-22,2010,1,22, ,8.6,,3,,5.8,,12.2,,0,,0,,0,,0,,0,,0,,0,
10-01-23,2010,1,23, ,9.2,,1.7,,5.5,,12.5,,0,,0,,0,,0,,0,,0,,0,
10-01-24,2010,1,24, ,8.4,,2.7,,5.6,,12.4,,0,,3.8,,0,,3.8,,0,,9,E,41,E
10-01-25,2010,1,25, ,9.3,,5.3,,7.3,,10.7,,0,,5.4,,0,,5.4,,0,,0,,0,
10-01-26,2010,1,26, ,8.7,,1.7,,5.2,,12.8,,0,,0,,0,,0,,0,,0,,0,
10-01-27,2010,1,27, ,8.8,,2.6,,5.7,,12.3,,0,,0,,0,,0,,0,,0,,0,
10-01-28,2010,1,28, ,9.5,,5.5,,7.5,,10.5,,0,,0,T,0,,0,T,0,,0,,0,
10-01-29,2010,1,29, ,11.6,,5.8,,8.7,,9.3,,0,,1,,0,,1,,0,,0,,0,
10-01-30,2010,1,30, ,8.9,,6.9,,7.9,,10.1,,0,,9.2,,0,,9.2,,0,,0,,0,
10-01-31,2010,1,31, ,10,,7,,8.5,,9.5,,0,,1,,0,,1,,0,,0,,0,
10-02-01,2010,2,1, ,8.8,,4.2,,6.5,,11.5,,0,,5.6,,0,,5.6,,0,,0,,0,
10-02-02,2010,2,2, ,9,,5.7,,7.4,,10.6,,0,,4.4,,0,,4.4,,0,,0,,0,
10-02-03,2010,2,3, ,8.8,,2.4,,5.6,,12.4,,0,,1.6,,0,,1.6,,0,,0,,0,
10-02-04,2010,2,4, ,13.1,,6.6,,9.9,,8.1,,0,,1.6,,0,,1.6,,0,,0,,0,
10-02-05,2010,2,5, ,13,,6.1,,9.6,,8.4,,0,,4.2,,0,,4.2,,0,,0,,0,
10-02-06,2010,2,6, ,11.7,,3.4,,7.6,,10.4,,0,,0,,0,,0,,0,,0,,0,
10-02-07,2010,2,7, ,8,,5.1,,6.6,,11.4,,0,,0.4,,0,,0.4,,0,,0,,0,
10-02-08,2010,2,8, ,10.8,,3.6,,7.2,,10.8,,0,,0.4,,0,,0.4,,0,,0,,0,
10-02-09,2010,2,9, ,9.7,,0.9,,5.3,,12.7,,0,,0,,0,,0,,0,,0,,0,
10-02-10,2010,2,10, ,9.1,,2.2,,5.7,,12.3,,0,,2.4,,0,,2.4,,0,,13,E,32,E
10-02-11,2010,2,11, ,10.2,,5.6,,7.9,,10.1,,0,,5.4,,0,,5.4,,0,,9,E,39,E
10-02-12,2010,2,12, ,11.5,,6.6,,9.1,,8.9,,0,,2.6,,0,,2.6,,0,,13,E,54,E
10-02-13,2010,2,13, ,9.9,,6.6,,8.3,,9.7,,0,,2.8,,0,,2.8,,0,,10,E,37,E
10-02-14,2010,2,14, ,12.4,,5.4,,8.9,,9.1,,0,,7.8,,0,,7.8,,0,,11,E,39,E
10-02-15,2010,2,15, ,10.2,,3.2,,6.7,,11.3,,0,,2.4,,0,,2.4,,0,,0,,0,
10-02-16,2010,2,16, ,11.7,,5,,8.4,,9.6,,0,,12.8,,0,,12.8,,0,,0,,0,
10-02-17,2010,2,17, ,8.2,,1.2,,4.7,,13.3,,0,,0,,0,,0,,0,,31,E,37,E
10-02-18,2010,2,18, ,9.1,,0.4,,4.8,,13.2,,0,,0,,0,,0,,0,,0,,0,
10-02-19,2010,2,19, ,10,,-0.4,,4.8,,13.2,,0,,0,,0,,0,,0,,0,,0,
10-02-20,2010,2,20, ,9.7,,-0.3,,4.7,,13.3,,0,,0,,0,,0,,0,,0,,0,
10-02-21,2010,2,21, ,10.2,,0.3,,5.3,,12.7,,0,,0,,0,,0,,0,,0,,0,
10-02-22,2010,2,22, ,10.9,,-0.4,,5.3,,12.7,,0,,0,,0,,0,,0,,0,,0,
10-02-23,2010,2,23, ,9.2,,2.6,,5.9,,12.1,,0,,4,,0,,4,,0,,6,E,35,E
10-02-24,2010,2,24, ,8,,5.3,,6.7,,11.3,,0,,10.8,,0,,10.8,,0,,0,,0,
10-02-25,2010,2,25, ,12.2,,6.2,,9.2,,8.8,,0,,1,,0,,1,,0,,11,E,37,E
10-02-26,2010,2,26, ,9.8,,6.9,,8.4,,9.6,,0,,10.6,,0,,10.6,,0,,0,,0,
10-02-27,2010,2,27, ,10.5,,7.2,,8.9,,9.1,,0,,19.8,,0,,19.8,,0,,0,,0,
10-02-28,2010,2,28, ,12.8,,7.7,,10.3,,7.7,,0,,1.6,,0,,1.6,,0,,0,,0,
10-03-01,2010,3,1, ,12.7,,4.7,,8.7,,9.3,,0,,0,,0,,0,,0,,0,,0,
10-03-02,2010,3,2, ,13.9,,7.2,,10.6,,7.4,,0,,1.4,,0,,1.4,,0,,0,,0,
10-03-03,2010,3,3, ,9.5,,4.6,,7.1,,10.9,,0,,0,T,0,,0,T,0,,30,E,46,E
10-03-04,2010,3,4, ,11.6,,3,,7.3,,10.7,,0,,0,,0,,0,,0,,0,,0,
10-03-05,2010,3,5, ,10.7,,2.8,,6.8,,11.2,,0,,0,,0,,0,,0,,0,,0,
10-03-06,2010,3,6, ,10.9,,2.2,,6.6,,11.4,,0,,0,,0,,0,,0,,0,,0,
10-03-07,2010,3,7, ,8.3,,2.2,,5.3,,12.7,,0,,6.2,,0,,6.2,,0,,29,E,65,E
10-03-08,2010,3,8, ,6.9,,1.2,,4.1,,13.9,,0,,0,T,0,,0,T,0,,29,E,76,E
10-03-09,2010,3,9, ,7.7,,4.4,,6.1,,11.9,,0,,0,,0,,0,,0,,13,E,37,E
10-03-10,2010,3,10, ,11.8,,2.3,,7.1,,10.9,,0,,3.8,,0,,3.8,,0,,13,E,48,E
10-03-11,2010,3,11, ,8.9,,2.1,,5.5,,12.5,,0,,20.8,,0,,20.8,,0,,13,E,70,E
10-03-12,2010,3,12, ,10.2,,2.9,,6.6,,11.4,,0,,14.4,,0,,14.4,,0,,10,E,32,E
10-03-13,2010,3,13, ,10.1,,4.1,,7.1,,10.9,,0,,5.6,,0,,5.6,,0,,13,E,44,E
10-03-14,2010,3,14, ,9,,3.7,,6.4,,11.6,,0,,5.8,,0,,5.8,,0,,0,,0,
10-03-15,2010,3,15, ,12.7,,5.7,,9.2,,8.8,,0,,5,,0,,5,,0,,0,,0,
10-03-16,2010,3,16, ,14.4,,8.9,,11.7,,6.3,,0,,1.4,,0,,1.4,,0,,18,E,56,E
10-03-17,2010,3,17, ,10.5,,4.9,,7.7,,10.3,,0,,0,,0,,0,,0,,0,,0,
10-03-18,2010,3,18, ,8.8,,0.5,,4.7,,13.3,,0,,0,,0,,0,,0,,0,,0,
10-03-19,2010,3,19, ,11,,0.2,,5.6,,12.4,,0,,0,,0,,0,,0,,0,,0,
10-03-20,2010,3,20, ,16.4,,1.3,,8.9,,9.1,,0,,0,,0,,0,,0,,0,,0,
10-03-21,2010,3,21, ,12.9,,8,,10.5,,7.5,,0,,3.6,,0,,3.6,,0,,0,,0,
10-03-22,2010,3,22, ,12.6,,3.4,,8,,10,,0,,0.2,,0,,0.2,,0,,0,,0,
10-03-23,2010,3,23, ,12.7,,5.4,,9.1,,8.9,,0,,0,,0,,0,,0,,0,,0,
10-03-24,2010,3,24, ,12.3,,4,,8.2,,9.8,,0,,0,,0,,0,,0,,0,,0,
10-03-25,2010,3,25, ,9.8,,7,,8.4,,9.6,,0,,8,,0,,8,,0,,0,,0,
10-03-26,2010,3,26, ,13.8,,7.3,,10.6,,7.4,,0,,5.4,,0,,5.4,,0,,0,,0,
10-03-27,2010,3,27, ,14.9,,5.4,,10.2,,7.8,,0,,0,,0,,0,,0,,10,E,37,E
10-03-28,2010,3,28, ,13.4,,7.9,,10.7,,7.3,,0,,4.4,,0,,4.4,,0,,13,E,57,E
10-03-29,2010,3,29, ,9.6,,5.1,,7.4,,10.6,,0,,20.6,,0,,20.6,,0,,15,E,67,E
10-03-30,2010,3,30, ,10.1,,5.3,,7.7,,10.3,,0,,1.6,,0,,1.6,,0,,18,E,37,E
10-03-31,2010,3,31, ,10.6,,2,,6.3,,11.7,,0,,0,,0,,0,,0,,0,,0,
10-04-01,2010,4,1, ,9.9,,2.2,,6.1,,11.9,,0,,1,,0,,1,,0,,23,,61,
10-04-02,2010,4,2, ,9.4,,4.8,,7.1,,10.9,,0,,5.6,,0,,5.6,,0,,12,E,89,E
10-04-03,2010,4,3, ,9.4,,3.1,,6.3,,11.7,,0,,1.8,,0,,1.8,,0,,18,E,59,E
10-04-04,2010,4,4, ,13.8,,3.1,,8.5,,9.5,,0,,2,,0,,2,,0,,9,E,50,E
10-04-05,2010,4,5, ,12.1,,5.1,,8.6,,9.4,,0,,9,,0,,9,,0,,15,E,41,E
10-04-06,2010,4,6, ,11.7,,4.8,,8.3,,9.7,,0,,3.2,,0,,3.2,,0,,22,E,39,E
10-04-07,2010,4,7, ,8.9,,5.5,,7.2,,10.8,,0,,11.4,,0,,11.4,,0,,14,E,50,E
10-04-08,2010,4,8, ,10.1,,3.3,,6.7,,11.3,,0,,8.2,,0,,8.2,,0,,29,E,93,E
10-04-09,2010,4,9, ,8.7,,2.6,,5.7,,12.3,,0,,0,,0,,0,,0,,27,E,46,E
10-04-10,2010,4,10, ,13.4,,1,,7.2,,10.8,,0,,0,,0,,0,,0,,10,E,39,E
10-04-11,2010,4,11, ,12.2,,3.8,,8,,10,,0,,0,,0,,0,,0,,0,,0,
10-04-12,2010,4,12, ,12.9,,5.9,,9.4,,8.6,,0,,0,,0,,0,,0,,30,E,32,E
10-04-13,2010,4,13, ,13.1,,7.9,,10.5,,7.5,,0,,0.2,,0,,0.2,,0,,0,,0,
10-04-14,2010,4,14, ,13.5,,8.5,,11,,7,,0,,0.4,,0,,0.4,,0,,0,,0,
10-04-15,2010,4,15, ,15.7,,6.6,,11.2,,6.8,,0,,1.6,,0,,1.6,,0,,0,,0,
10-04-16,2010,4,16, ,13.7,,5.7,,9.7,,8.3,,0,,0.2,,0,,0.2,,0,,30,E,32,E
10-04-17,2010,4,17, ,15.2,,8.8,,12,,6,,0,,4.2,,0,,4.2,,0,,10,E,33,E
10-04-18,2010,4,18, ,18.5,,9.7,,14.1,,3.9,,0,,0,,0,,0,,0,,0,,0,
10-04-19,2010,4,19, ,20.4,,8.3,,14.4,,3.6,,0,,0,,0,,0,,0,,0,,0,
10-04-20,2010,4,20, ,13.1,,9.8,,11.5,,6.5,,0,,7.8,,0,,7.8,,0,,30,E,52,E
10-04-21,2010,4,21, ,11.9,,6.9,,9.4,,8.6,,0,,0,T,0,,0,T,0,,29,E,56,E
10-04-22,2010,4,22, ,13.6,,5.8,,9.7,,8.3,,0,,0,,0,,0,,0,,29,E,46,E
10-04-23,2010,4,23, ,12.6,,5.4,,9,,9,,0,,5,,0,,5,,0,,0,,0,
10-04-24,2010,4,24, ,11.9,,4.6,,8.3,,9.7,,0,,2,,0,,2,,0,,18,E,32,E
10-04-25,2010,4,25, ,12.2,,5.4,,8.8,,9.2,,0,,3.6,,0,,3.6,,0,,0,,0,
10-04-26,2010,4,26, ,18,,8,,13,,5,,0,,9,,0,,9,,0,,14,,72,
10-04-27,2010,4,27, ,15.5,,8.9,,12.2,,5.8,,0,,8.2,,0,,8.2,,0,,24,E,44,E
10-04-28,2010,4,28, ,13.4,,6.7,,10.1,,7.9,,0,,1.4,,0,,1.4,,0,,0,,0,
10-04-29,2010,4,29, ,14,,8.7,,11.4,,6.6,,0,,0,,0,,0,,0,,28,E,46,E
10-04-30,2010,4,30, ,14.4,,8.4,,11.4,,6.6,,0,,2.2,,0,,2.2,,0,,25,E,41,E
10-05-01,2010,5,1, ,14.1,,7.2,,10.7,,7.3,,0,,0.6,,0,,0.6,,0,,28,E,46,E
10-05-02,2010,5,2, ,12.4,,6.4,,9.4,,8.6,,0,,11,,0,,11,,0,,21,E,39,E
10-05-03,2010,5,3, ,12.8,,6,,9.4,,8.6,,0,,0.8,,0,,0.8,,0,,30,E,67,E
10-05-04,2010,5,4, ,12,,4.5,,8.3,,9.7,,0,,0,,0,,0,,0,,27,E,44,E
10-05-05,2010,5,5, ,12.7,,2.6,,7.7,,10.3,,0,,0,,0,,0,,0,,0,,0,
10-05-06,2010,5,6, ,14.3,,4.5,,9.4,,8.6,,0,,0,,0,,0,,0,,32,E,33,E
10-05-07,2010,5,7, ,15.2,,4.8,,10,,8,,0,,0,,0,,0,,0,,0,,0,
10-05-08,2010,5,8, ,16.4,,5.6,,11,,7,,0,,0,,0,,0,,0,,0,,0,
10-05-09,2010,5,9, ,18.5,,5.2,,11.9,,6.1,,0,,0,,0,,0,,0,,0,,0,
10-05-10,2010,5,10, ,15.5,,9,,12.3,,5.7,,0,,0,,0,,0,,0,,22,E,35,E
10-05-11,2010,5,11, ,18,,7.3,,12.7,,5.3,,0,,0,,0,,0,,0,,0,,0,
10-05-12,2010,5,12, ,15.9,,8,,12,,6,,0,,0,,0,,0,,0,,0,,0,
10-05-13,2010,5,13, ,17,,7.7,,12.4,,5.6,,0,,0,,0,,0,,0,,0,,0,
10-05-14,2010,5,14, ,19.9,,9,,14.5,,3.5,,0,,0,,0,,0,,0,,0,,0,
10-05-15,2010,5,15, ,21.1,,9,,15.1,,2.9,,0,,0,,0,,0,,0,,0,,0,
10-05-16,2010,5,16, ,19,,10.5,,14.8,,3.2,,0,,0,T,0,,0,T,0,,0,,0,
10-05-17,2010,5,17, ,20.1,,10.4,,15.3,,2.7,,0,,0,,0,,0,,0,,0,,0,
10-05-18,2010,5,18, ,16.4,,11.2,,13.8,,4.2,,0,,1.8,,0,,1.8,,0,,0,,0,
10-05-19,2010,5,19, ,20.6,,11.3,,16,,2,,0,,2.2,,0,,2.2,,0,,15,E,56,E
10-05-20,2010,5,20, ,13.4,,9,,11.2,,6.8,,0,,0.8,,0,,0.8,,0,,16,E,63,E
10-05-21,2010,5,21, ,14.1,,6.5,,10.3,,7.7,,0,,0.2,,0,,0.2,,0,,0,,0,
10-05-22,2010,5,22, ,13.1,,6.4,,9.8,,8.2,,0,,1,,0,,1,,0,,0,,0,
10-05-23,2010,5,23, ,15.4,,7.7,,11.6,,6.4,,0,,0,T,0,,0,T,0,,0,,0,
10-05-24,2010,5,24, ,17,,8.3,,12.7,,5.3,,0,,0,,0,,0,,0,,14,E,32,E
10-05-25,2010,5,25, ,16.4,,11.4,,13.9,,4.1,,0,,1.6,,0,,1.6,,0,,0,,0,
10-05-26,2010,5,26, ,13.9,,11.2,,12.6,,5.4,,0,,6.2,,0,,6.2,,0,,0,,0,
10-05-27,2010,5,27, ,16,,11.3,,13.7,,4.3,,0,,0.4,,0,,0.4,,0,,28,E,37,E
10-05-28,2010,5,28, ,14.4,,10.8,,12.6,,5.4,,0,,6.8,,0,,6.8,,0,,9,E,32,E
