Station Name,CALGARY INT'L A,,,,,,,,,,,,,,,,,,,,,,,,,
Province,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,51.11,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-114.02,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,1084.1,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,3031093,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71877,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,YYC,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,,,
[Empty],No Data Available,,,,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,
A,Accumulated,,,,,,,,,,,,,,,,,,,,,,,,,
C,Precipitation Occurred; Amount Uncertain,,,,,,,,,,,,,,,,,,,,,,,,,
L,Precipitation May or May Not Have Occurred,,,,,,,,,,,,,,,,,,,,,,,,,
F,Accumulated and Estimated,,,,,,,,,,,,,,,,,,,,,,,,,
N,Temperature Missing but Known to be > 0,,,,,,,,,,,,,,,,,,,,,,,,,
Y,Temperature Missing but Known to be < 0,,,,,,,,,,,,,,,,,,,,,,,,,
S,More Than One Occurrence,,,,,,,,,,,,,,,,,,,,,,,,,
T,Trace,,,,,,,,,,,,,,,,,,,,,,,,,
*,Data for this day has undergone only preliminary quality checking,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (C),Max Temp Flag,Min Temp (C),Min Temp Flag,Mean Temp (C),Mean Temp Flag,Heat Deg Days (C),Heat Deg Days Flag,Cool Deg Days (C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
11-01-01,2011,1,1, ,-1.7,,-16,,-8.9,,26.9,,0,,0,,0,T,0,T,9,,0,,0,
11-01-02,2011,1,2, ,-1.4,,-5,,-3.2,,21.2,,0,,0,,0,T,0,T,9,,0,,0,
11-01-03,2011,1,3, ,-2.8,,-12.9,,-7.9,,25.9,,0,,0,,0,T,0,T,7,,0,,0,
11-01-04,2011,1,4, ,3.5,,-12.7,,-4.6,,22.6,,0,,0,,0,,0,,7,,0,,0,
11-01-05,2011,1,5, ,5.9,,0.6,,3.3,,14.7,,0,,0,,0,,0,,6,,27,E,52,E
11-01-06,2011,1,6, ,7.1,,-4.3,,1.4,,16.6,,0,,0,,0,,0,,5,,26,E,57,E
11-01-07,2011,1,7, ,-2.3,,-11,,-6.7,,24.7,,0,,0,,0,,0,,2,,15,,33,
11-01-08,2011,1,8, ,-5.2,,-14.6,,-9.9,,27.9,,0,,0,,1.8,,1.8,,2,,26,E,67,E
