Station Name,TORONTO LESTER B. PEARSON INT'L A,,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.68,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.63,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,173.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6158733,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71624,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,YYZ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,,,
[Empty],No Data Available,,,,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,
A,Accumulated,,,,,,,,,,,,,,,,,,,,,,,,,
C,Precipitation Occurred; Amount Uncertain,,,,,,,,,,,,,,,,,,,,,,,,,
L,Precipitation May or May Not Have Occurred,,,,,,,,,,,,,,,,,,,,,,,,,
F,Accumulated and Estimated,,,,,,,,,,,,,,,,,,,,,,,,,
N,Temperature Missing but Known to be > 0,,,,,,,,,,,,,,,,,,,,,,,,,
Y,Temperature Missing but Known to be < 0,,,,,,,,,,,,,,,,,,,,,,,,,
S,More Than One Occurrence,,,,,,,,,,,,,,,,,,,,,,,,,
T,Trace,,,,,,,,,,,,,,,,,,,,,,,,,
*,Data for this day has undergone only preliminary quality checking,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (C),Max Temp Flag,Min Temp (C),Min Temp Flag,Mean Temp (C),Mean Temp Flag,Heat Deg Days (C),Heat Deg Days Flag,Cool Deg Days (C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
11-01-01,2011,1,1, ,12,,-1.3,,5.4,,12.6,,0,,8.6,,0,,8.6,,0,,27,,52,
11-01-02,2011,1,2, ,-1.1,,-5.5,,-3.3,,21.3,,0,,0,,0,T,0,T,0,,26,,39,
11-01-03,2011,1,3, ,0.1,,-6.5,,-3.2,,21.2,,0,,0,,0,T,0,T,0,,25,,32,
11-01-04,2011,1,4, ,1.3,,-3.2,,-1,,19,,0,,0,,0.4,,0.4,,0,T,0,,0,
11-01-05,2011,1,5, ,-1,,-8.9,,-5,,23,,0,,0,,0,,0,,0,T,30,,33,
11-01-06,2011,1,6, ,-2.1,,-9,,-5.6,,23.6,,0,,0,,4.8,,4.4,,0,T,0,,0,
11-01-07,2011,1,7, ,-4.3,,-10.6,,-7.5,,25.5,,0,,0,,4.2,,1.6,,4,,26,,32,
11-01-08,2011,1,8, ,-5.3,,-10.5,,-7.9,,25.9,,0,,0,,11.2,,6.4,,12,,0,,0,
11-01-09,2011,1,9, ,-4.4,,-11.1,,-7.8,,25.8,,0,,0,,0,T,0,T,17,,31,,33,
11-01-10,2011,1,10, ,-3.8,,-13,,-8.4,,26.4,,0,,0,,0,,0,,16,,34,,35,
11-01-11,2011,1,11, ,-4.7,,-10,,-7.4,,25.4,,0,,0,,2.8,,2.4,,16,,4,,37,
11-01-12,2011,1,12, ,-7,,-11,,-9,,27,,0,,0,,1.8,,1.8,,19,,36,,52,
11-01-13,2011,1,13, ,-5.7,,-13,,-9.4,,27.4,,0,,0,,0,T,0,T,19,,0,,0,
11-01-14,2011,1,14, ,-2.2,,-8.6,,-5.4,,23.4,,0,,0,,0.2,,0.2,,18,,0,,0,
11-01-15,2011,1,15, ,-2.3,,-8.3,,-5.3,,23.3,,0,,0,,5.8,,5.4,,18,,28,,50,
11-01-16,2011,1,16, ,-5.7,,-18.3,,-12,,30,,0,,0,,0,,0,,21,,32,,52,
11-01-17,2011,1,17, ,-2.2,,-21.2,,-11.7,,29.7,,0,,0,,5.2,,2.4,,21,,12,,37,
11-01-18,2011,1,18, ,3.4,,-2.6,,0.4,,17.6,,0,,2.8,,0,T,2.8,,21,,1,,46,
11-01-19,2011,1,19, ,-2.6,,-11.6,,-7.1,,25.1,,0,,0,T,0.2,,0.2,,8,,1,,44,
11-01-20,2011,1,20, ,-5.6,,-14.9,,-10.3,,28.3,,0,,0,,1.8,,1.6,,8,,0,,0,
11-01-21,2011,1,21, ,-6.1,,-15.3,,-10.7,,28.7,,0,,0,,1,,0.6,,10,,31,,65,
11-01-22,2011,1,22, ,-9.1,,-16.4,,-12.8,,30.8,,0,,0,,0.8,,0.8,,10,,22,,33,
11-01-23,2011,1,23, ,-11.8,,-20.2,,-16,,34,,0,,0,,0.2,,0.2,,10,,1,,32,
11-01-24,2011,1,24, ,-5.3,,-20.7,,-13,,31,,0,,0,,3.4,,2.2,,10,,0,,0,
11-01-25,2011,1,25, ,-0.5,,-6,,-3.3,,21.3,,0,,0,,0,T,0,T,12,,28,,37,
11-01-26,2011,1,26, ,-1.3,,-3.2,,-2.3,,20.3,,0,,0,,0,T,0,T,12,,0,,0,
11-01-27,2011,1,27, ,-0.8,,-4.6,,-2.7,,20.7,,0,,0,,0,T,0,T,9,,0,,0,
11-01-28,2011,1,28, ,-1.3,,-5.8,,-3.6,,21.6,,0,,0,,0,T,0,T,8,,0,,0,
11-01-29,2011,1,29, ,-4.7,,-10.2,,-7.5,,25.5,,0,,0,,0,T,0,T,7,,0,,0,
11-01-30,2011,1,30, ,-4.4,,-14.4,,-9.4,,27.4,,0,,0,,0,,0,,7,,0,,0,
11-01-31,2011,1,31, ,-10.4,,-18.6,,-14.5,,32.5,,0,,0,,0,,0,,7,,0,,0,
11-02-01,2011,2,1, ,-7.1,,-11.8,,-9.5,,27.5,,0,,0,,1.6,,1,,7,,7,,39,
11-02-02,2011,2,2, ,-8.4,,-14.9,,-11.7,,29.7,,0,,0,,12.8,,9.4,,15,,6,,48,
11-02-03,2011,2,3, ,-3.8,,-17.1,,-10.5,,28.5,,0,,0,,0,,0,,21,,24,,50,
11-02-04,2011,2,4, ,-4.6,,-10.2,,-7.4,,25.4,,0,,0,,0,,0,,20,,24,,46,
11-02-05,2011,2,5, ,-0.9,,-9.1,,-5,,23,,0,,0,,11.6,,9.8,,20,,30,,59,
11-02-06,2011,2,6, ,0.6,,-3.2,,-1.3,,19.3,,0,,0,,2.6,,1.4,,17,,0,,0,
11-02-07,2011,2,7, ,0.4,,-10.6,,-5.1,,23.1,,0,,0,,1.2,,0.7,,17,,35,,54,
11-02-08,2011,2,8, ,-9.6,,-16,,-12.8,,30.8,,0,,0,,0,T,0,T,16,,34,,48,
11-02-09,2011,2,9, ,-6.3,,-13.7,,-10,,28,,0,,0,,0,,0,,17,,27,,54,
11-02-10,2011,2,10, ,-9.2,,-15.3,,-12.3,,30.3,,0,,0,,0,,0,,17,,28,,46,
11-02-11,2011,2,11, ,-4.4,,-18,,-11.2,,29.2,,0,,0,,0,T,0,T,16,,23,,33,
11-02-12,2011,2,12, ,-1.9,,-7,,-4.5,,22.5,,0,,0,,0.2,,0,T,16,,30,,56,
11-02-13,2011,2,13, ,6.8,,-6.1,,0.4,,17.6,,0,,0,,0.2,,0.2,,16,,24,,52,
11-02-14,2011,2,14, ,6.8,,-10.3,,-1.8,,19.8,,0,,0,T,0,,0,T,12,,33,,78,
11-02-15,2011,2,15, ,-3.6,,-13.6,,-8.6,,26.6,,0,,0,,0,,0,,8,,0,,0,
11-02-16,2011,2,16, ,5.5,,-6.3,,-0.4,,18.4,,0,,0,,0,T,0,T,5,,0,,0,
11-02-17,2011,2,17, ,11.3,,-1,,5.2,,12.8,,0,,1.2,,0,,1.2,,3,,22,,33,
11-02-18,2011,2,18, ,10.8,,-1,,4.9,,13.1,,0,,0,T,0,T,0,T,0,T,27,,96,
11-02-19,2011,2,19, ,-0.9,,-6.7,,-3.8,,21.8,,0,,0,,0,T,0,T,0,T,30,,83,
11-02-20,2011,2,20, ,-3.3,,-10.1,,-6.7,,24.7,,0,,0,,4.6,,4.2,,0,T,0,,0,
11-02-21,2011,2,21, ,-5.8,,-11.8,,-8.8,,26.8,,0,,0,,0,T,0,T,5,,4,,35,
11-02-22,2011,2,22, ,-3.7,,-14.2,,-9,,27,,0,,0,,0,,0,,2,,0,,0,
11-02-23,2011,2,23, ,0.2,,-13.2,,-6.5,,24.5,,0,,0,,0,,0,,2,,0,,0,
11-02-24,2011,2,24, ,2.6,,-5.9,,-1.7,,19.7,,0,,0,,2,,1.4,,1,,0,,0,
11-02-25,2011,2,25, ,0.6,,-9.1,,-4.3,,22.3,,0,,0,,0.6,,0.4,,0,T,33,,50,
11-02-26,2011,2,26, ,-2.1,,-9,,-5.6,,23.6,,0,,0,,7,,4.4,,0,T,0,,0,
11-02-27,2011,2,27, ,2.5,,-4.9,,-1.2,,19.2,,0,,0,T,0.6,,0.2,,8,,0,,0,
